Airline,Source,Destination,Stops,Info,Day,Month,Total Distance,Duration Total,Price
IndiGo,BLR,DEL,0,,24,3,1709.71,120,3897
Air India,CCU,BLR,2,,1,5,1838.5500000000002,420,7662
Jet Airways,DEL,COK,2,,9,6,2671.33,1140,13882
IndiGo,CCU,BLR,1,,12,5,1874.71,300,6218
IndiGo,BLR,DEL,1,,1,3,1743.04,240,13302
SpiceJet,CCU,BLR,0,,24,6,1547.27,120,3873
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,900,11087
Jet Airways,BLR,DEL,1,,1,3,1971.87,1260,22270
Jet Airways,BLR,DEL,1,1.0,12,3,1971.87,1500,11087
Multiple carriers,DEL,COK,1,,27,5,2201.6,420,8625
Air India,DEL,COK,1,,1,6,2077.09,780,8907
IndiGo,CCU,BLR,0,,18,4,1547.27,120,4174
Air India,MAA,CCU,0,,24,6,1387.26,120,4667
Jet Airways,CCU,BLR,1,1.0,9,5,2500.36,720,9663
IndiGo,CCU,BLR,0,,24,4,1547.27,120,4804
Air India,DEL,COK,2,,3,3,2263.95,1560,14011
SpiceJet,DEL,COK,1,,15,4,2130.78,240,5830
Jet Airways,DEL,COK,1,1.0,12,6,2201.6,1320,10262
Air India,DEL,COK,2,,12,6,4043.05,1380,13381
Jet Airways,DEL,COK,1,1.0,27,5,2201.6,1200,12898
GoAir,DEL,COK,1,,6,3,2201.6,300,19495
Air India,BLR,DEL,1,,21,3,2415.98,900,6955
IndiGo,BLR,DEL,0,,3,4,1709.71,120,3943
IndiGo,BLR,DEL,0,,1,5,1709.71,120,4823
Jet Airways,CCU,BLR,1,1.0,6,5,2500.36,780,7757
Jet Airways,DEL,COK,2,,9,6,2232.34,900,13292
IndiGo,DEL,COK,1,,1,6,2329.93,300,8238
GoAir,DEL,COK,1,,15,5,2201.6,300,7682
Vistara,BLR,DEL,0,,18,6,1709.71,120,4668
Vistara,MAA,CCU,0,,15,6,1387.26,120,3687
Vistara,MAA,CCU,0,,18,6,1387.26,120,3687
Air India,CCU,BLR,2,,1,5,3664.88,780,13227
IndiGo,BLR,DEL,0,,6,4,1709.71,120,4423
Jet Airways,DEL,COK,2,1.0,15,6,2600.67,1320,10919
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,300,12373
IndiGo,DEL,COK,1,,27,6,2201.6,600,5894
SpiceJet,CCU,BLR,1,,21,5,1654.62,300,4649
Air India,CCU,BLR,0,,18,5,1547.27,120,6245
Jet Airways,BLR,DEL,1,,6,3,1971.87,360,19225
Jet Airways,DEL,COK,1,,3,6,2201.6,660,14924
Multiple carriers,DEL,COK,1,,21,5,2084.71,660,9646
Air India,BLR,DEL,1,,15,3,1971.87,480,8714
Jet Airways,DEL,COK,1,1.0,18,5,2201.6,1320,12373
Air Asia,BLR,DEL,0,,6,5,1709.71,120,3383
Multiple carriers,DEL,COK,1,,21,3,2201.6,720,13062
SpiceJet,BLR,DEL,0,2.0,24,3,1709.71,120,3527
IndiGo,BLR,DEL,0,,27,5,1709.71,120,3943
Air India,MAA,CCU,0,,3,5,1387.26,120,4667
Air India,CCU,BLR,1,,15,5,1662.88,960,6117
Jet Airways,DEL,COK,2,1.0,27,6,2263.95,1140,11150
Jet Airways,DEL,COK,0,1.0,9,3,2048.6,180,7202
Jet Airways,CCU,BLR,1,,1,5,3022.67,1500,12121
IndiGo,BLR,DEL,0,,24,3,1709.71,120,4377
IndiGo,BLR,DEL,0,,18,6,1709.71,180,3943
Air Asia,BLR,DEL,0,,3,4,1709.71,120,4483
Jet Airways,CCU,BLR,1,,24,3,2500.36,960,14231
Air India,BLR,DEL,2,,1,3,2034.22,900,17345
Vistara,MAA,CCU,0,,6,3,1387.26,120,7414
Multiple carriers,DEL,COK,1,,6,5,2201.6,360,8073
Vistara,BOM,HYD,1,,6,3,2404.77,1500,12395
Air India,CCU,BLR,1,,6,6,2500.36,720,8366
Air India,DEL,COK,1,,3,4,2278.33,1620,5117
Multiple carriers,DEL,COK,1,,3,6,2201.6,600,12524
IndiGo,DEL,COK,1,,15,5,2201.6,600,7191
Vistara,MAA,CCU,0,,24,5,1387.26,120,3687
IndiGo,DEL,COK,1,,24,6,2201.6,600,5894
Vistara,BLR,DEL,0,,24,4,1709.71,120,5403
Air India,BOM,HYD,0,,6,5,623.54,60,3625
Air India,DEL,COK,2,,21,5,2308.95,780,10861
IndiGo,MAA,CCU,0,,12,3,1387.26,120,6297
Jet Airways,BOM,HYD,0,,1,6,623.54,60,5678
Jet Airways,BLR,DEL,1,1.0,9,3,1971.87,1560,9134
Multiple carriers,DEL,COK,1,1.0,24,6,2201.6,420,10791
Jet Airways,DEL,COK,2,,24,6,2263.95,780,12819
IndiGo,DEL,COK,1,,21,3,2077.09,300,6893
Vistara,BLR,DEL,0,,9,3,1709.71,120,7240
GoAir,BLR,DEL,0,,3,4,1709.71,120,3898
IndiGo,BOM,HYD,0,,3,4,623.54,60,4049
Jet Airways,DEL,COK,1,1.0,15,6,2201.6,1140,10262
SpiceJet,MAA,CCU,0,2.0,21,3,1387.26,120,3332
Jet Airways,CCU,BLR,1,1.0,9,6,2500.36,840,10844
Jet Airways,BLR,DEL,0,,24,3,1709.71,120,7229
Jet Airways,CCU,BLR,1,,6,5,2500.36,1320,13941
IndiGo,DEL,COK,1,,27,6,2201.6,540,5894
Multiple carriers,DEL,COK,1,,18,5,2201.6,600,10197
Jet Airways,BLR,DEL,1,1.0,6,3,1971.87,1260,13712
IndiGo,DEL,COK,1,,24,6,2278.33,300,5636
Jet Airways,DEL,COK,2,,6,6,2206.24,1080,13014
Jet Airways,CCU,BLR,1,1.0,1,4,2500.36,720,7064
